year,month,day,hour,minute,node_id,temperature_c
2026,3,30,10,0,1,21.4
2026,3,30,10,0,2,20.9
2026,3,30,10,0,3,22.1
2026,3,30,10,10,1,21.5
2026,3,30,10,10,2,21.0
2026,3,30,10,10,3,22.0
2026,3,30,10,20,1,21.7
2026,3,30,10,20,2,21.2
2026,3,30,10,20,3,22.2
2026,3,30,10,30,1,21.8
2026,3,30,10,30,2,21.3
2026,3,30,10,30,3,22.4
2026,3,30,10,40,1,22.0
2026,3,30,10,40,2,21.5
2026,3,30,10,40,3,22.6
2026,3,30,10,50,1,22.1
2026,3,30,10,50,2,21.6
2026,3,30,10,50,3,22.7
2026,3,30,11,0,1,22.2
2026,3,30,11,0,2,21.7
2026,3,30,11,0,3,22.9
2026,3,30,11,10,1,22.2
2026,3,30,11,10,2,21.7
2026,3,30,11,10,3,22.9
2026,3,30,11,20,1,22.2
2026,3,30,11,20,2,21.7
2026,3,30,11,20,3,22.9
2026,3,30,11,30,1,22.2
2026,3,30,11,30,2,21.7
2026,3,30,11,30,3,22.9
2026,3,30,11,40,1,22.2
2026,3,30,11,40,2,21.7
2026,3,30,11,40,3,22.9
2026,3,30,11,50,1,22.2
2026,3,30,11,50,2,21.7
2026,3,30,11,50,3,22.9
2026,3,30,12,0,1,22.2
2026,3,30,12,0,2,21.7
2026,3,30,12,0,3,22.9
2026,3,30,12,10,1,22.2
2026,3,30,12,10,2,21.7
2026,3,30,12,10,3,22.9
2026,3,30,12,20,1,22.2
2026,3,30,12,20,2,21.7
2026,3,30,12,20,3,22.8
2026,3,30,12,30,1,22.2
2026,3,30,12,30,2,21.7
2026,3,30,12,30,3,22.8
2026,3,30,12,40,1,22.2
2026,3,30,12,40,2,21.7
2026,3,30,12,40,3,22.8
2026,3,30,12,50,1,22.2
2026,3,30,12,50,2,21.7
2026,3,30,12,50,3,22.8
2026,3,30,13,0,1,22.2
2026,3,30,13,0,2,21.7
2026,3,30,13,0,3,22.8
2026,3,30,13,10,1,22.2
2026,3,30,13,10,2,21.7
2026,3,30,13,10,3,22.7
2026,3,30,13,20,1,22.2
2026,3,30,13,20,2,21.7
2026,3,30,13,20,3,22.7
2026,3,30,13,30,1,22.2
2026,3,30,13,30,2,21.7
2026,3,30,13,30,3,22.7
2026,3,30,13,40,1,22.2
2026,3,30,13,40,2,21.7
2026,3,30,13,40,3,22.7
2026,3,30,13,50,1,22.2
2026,3,30,13,50,2,21.6
2026,3,30,13,50,3,22.7
2026,3,30,14,0,1,22.2
2026,3,30,14,0,2,21.6
2026,3,30,14,0,3,22.6
2026,3,30,14,10,1,22.1
2026,3,30,14,10,2,21.6
2026,3,30,14,10,3,22.6
2026,3,30,14,20,1,22.1
2026,3,30,14,20,2,21.6
2026,3,30,14,20,3,22.6
2026,3,30,14,30,1,22.0
2026,3,30,14,30,2,21.5
2026,3,30,14,30,3,22.6
2026,3,30,14,40,1,22.0
2026,3,30,14,40,2,21.5
2026,3,30,14,40,3,22.5
2026,3,30,14,50,1,22.0
2026,3,30,14,50,2,21.5
2026,3,30,14,50,3,22.5
2026,3,30,15,0,1,21.9
2026,3,30,15,0,2,21.5
2026,3,30,15,0,3,22.5
2026,3,30,15,10,1,21.9
2026,3,30,15,10,2,21.4
2026,3,30,15,10,3,22.5
2026,3,30,15,20,1,21.9
2026,3,30,15,20,2,21.4
2026,3,30,15,20,3,22.5
2026,3,30,15,30,1,21.9
2026,3,30,15,30,2,21.4
2026,3,30,15,30,3,22.5
2026,3,30,15,40,1,21.9
2026,3,30,15,40,2,21.5
2026,3,30,15,40,3,22.5
2026,3,30,15,50,1,21.9
2026,3,30,15,50,2,21.5
2026,3,30,15,50,3,22.6
2026,3,30,16,0,1,21.9
2026,3,30,16,0,2,21.5
2026,3,30,16,0,3,22.6
2026,3,30,16,10,1,22.0
2026,3,30,16,10,2,21.5
2026,3,30,16,10,3,22.7
2026,3,30,16,20,1,22.0
2026,3,30,16,20,2,21.6
2026,3,30,16,20,3,22.7
2026,3,30,16,30,1,22.0
2026,3,30,16,30,2,21.6
2026,3,30,16,30,3,22.8
2026,3,30,16,40,1,22.1
2026,3,30,16,40,2,21.6
2026,3,30,16,40,3,22.8
2026,3,30,16,50,1,22.1
2026,3,30,16,50,2,21.7
2026,3,30,16,50,3,22.9
2026,3,30,17,0,1,22.1
2026,3,30,17,0,2,21.7
2026,3,30,17,0,3,22.9
2026,3,30,17,10,1,22.2
2026,3,30,17,10,2,21.7
2026,3,30,17,10,3,23.0
2026,3,30,17,20,1,22.2
2026,3,30,17,20,2,21.8
2026,3,30,17,20,3,23.0
2026,3,30,17,30,1,22.2
2026,3,30,17,30,2,21.8
2026,3,30,17,30,3,23.0
2026,3,30,17,40,1,22.2
2026,3,30,17,40,2,21.8
2026,3,30,17,40,3,23.0
2026,3,30,17,50,1,22.2
2026,3,30,17,50,2,21.8
2026,3,30,17,50,3,23.0
2026,3,30,18,0,1,22.3
2026,3,30,18,0,2,21.8
2026,3,30,18,0,3,23.0
2026,3,30,18,10,1,22.3
2026,3,30,18,10,2,21.8
2026,3,30,18,10,3,23.0
2026,3,30,18,20,1,22.3
2026,3,30,18,20,2,21.7
2026,3,30,18,20,3,22.9
2026,3,30,18,30,1,22.3
2026,3,30,18,30,2,21.7
2026,3,30,18,30,3,22.9
2026,3,30,18,40,1,22.3
2026,3,30,18,40,2,21.7
2026,3,30,18,40,3,22.9
2026,3,30,18,50,1,22.3
2026,3,30,18,50,2,21.7
2026,3,30,18,50,3,22.9
2026,3,30,19,0,1,22.3
2026,3,30,19,0,2,21.7
2026,3,30,19,0,3,22.9
2026,3,30,19,10,1,22.3
2026,3,30,19,10,2,21.7
